,agency_name,ntd_id,hq_city,hq_county,counties_served,agency_website,caltrans_district_id,caltrans_district_name,is_public_entity,is_publicly_operating,funding_sources,on_demand_vehicles_at_max_service,vehicles_at_max_service,gtfs_schedule_uris
28,City of Gardena,90042,Gardena,Los Angeles,Los Angeles,www.ridegtrans.com,7.0,Los Angeles,True,True,5307,30.0,30.0,http://ridegtrans.com/gtfs.zip
29,City of Riverside,90086,Riverside,Riverside,Riverside,https://www.riversideca.gov/park_rec/programs-sports/seniors/special-transportation-division,8.0,San Bernardino / Riverside,True,False,,15.0,15.0,
30,The Eastern Contra Costa Transit Authority,90162,Antioch,Contra Costa,Contra Costa,http://www.trideltatransit.com/,4.0,Bay Area / Oakland,True,True,5307;5311,,91.0,https://api.511.org/transit/datafeeds?operator_id=3D;https://api.511.org/transit/datafeeds?operator_id=RG
31,City of Thousand Oaks,90165,Thousand Oaks,Ventura,Ventura,https://www.toaks.org/departments/public-works/transit,7.0,Los Angeles,True,True,5307;5310,,14.0,https://data.trilliumtransit.com/gtfs/thousandoaks-ca-us/thousandoaks-ca-us.zip;https://govcbus.com/gtfs;https://gtfs.calitp.org/production/ThousandOaksDialARideParatransitandConnectFlex.zip
32,City of Alhambra,90247,Alhambra,Los Angeles,Los Angeles,https://www.cityofalhambra.org/293/Alhambra-Community-Transit-ACT,7.0,Los Angeles,True,True,,,15.0,https://www.cityofalhambra.org/DocumentCenter/View/4979/alhambra-ca-us
33,Sonoma-Marin Area Rail Transit District,90299,Petaluma,Sonoma,Sonoma,www.sonomamarintrain.org,4.0,Bay Area / Oakland,True,True,5307,10.0,10.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SA;https://data.trilliumtransit.com/gtfs/smart-ca-us/smart-ca-us.zip
34,San Bernardino County Transportation Authority,90302,San Bernardino,San Bernardino,San Bernardino,www.gosbcta.com,8.0,San Bernardino / Riverside,True,True,5307,,57.0,https://www.metrolinktrains.com/globalassets/about/gtfs/gtfs.zip
35,City of La Mirada ,90024,La Mirada,Los Angeles,Los Angeles,http://www.cityoflamirada.org/departments/community-services/transit,7.0,Los Angeles,True,True,,,6.0,
36,City of Visalia  ,90091,Visalia,Tulare,Tulare,https://www.visalia.city/depts/transportation_services/transit/default.asp,6.0,Fresno / Bakersfield,True,True,5303;5307;5310;5311;5339,,38.0,https://visaliatransit.info/GTFS
37,City of Rosemead,90289,Rosemead,Los Angeles,Los Angeles,http://www.cityofrosemead.org/cms/one.aspx?pageId=10909050,7.0,Los Angeles,True,True,,,7.0,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/rosemead-ca-us/rosemead-ca-us.zip
38,City of South Gate,90291,South Gate,Los Angeles,Los Angeles,https://www.cityofsouthgate.org/City-Services/Transportation,7.0,Los Angeles,True,True,,,15.0,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/getaroundtownexpress-ca-us/getaroundtownexpress-ca-us.zip
39,City of Arcata,91018,Arcata,Humboldt,Humboldt,http://www.cityofarcata.org/,,,,,,2.0,2.0,
40,Bob Hope Airport,99444,Burbank,Los Angeles,Los Angeles,www.hollywoodburbankairport.com,,,,,,,0.0,
